[2024-09-02 19:06:43,036] INFO [QuorumController id=1] Creating new QuorumController with clusterId 6jKgrn6AQWasXgFPRzxV0g. (org.apache.kafka.controller.QuorumController)
[2024-09-02 19:06:43,042] INFO [QuorumController id=1] Becoming the active controller at epoch 1, next write offset 1. (org.apache.kafka.controller.QuorumController)
[2024-09-02 19:09:40,112] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-22 with topic ID 6IWF03JWSnSy2TPxm_2Ceg and PartitionRegistration(replicas=[1], directories=[bOn0HQux8YJPAUEV0wnUlw], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
[2024-09-02 19:09:40,112] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-23 with topic ID 6IWF03JWSnSy2TPxm_2Ceg and PartitionRegistration(replicas=[1], directories=[bOn0HQux8YJPAUEV0wnUlw], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
[2024-09-02 19:09:40,112] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-24 with topic ID 6IWF03JWSnSy2TPxm_2Ceg and PartitionRegistration(replicas=[1], directories=[bOn0HQux8YJPAUEV0wnUlw], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
[2024-09-02 19:09:40,112] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-25 with topic ID 6IWF03JWSnSy2TPxm_2Ceg and PartitionRegistration(replicas=[1], directories=[bOn0HQux8YJPAUEV0wnUlw], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
[2024-09-02 19:09:40,113] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-26 with topic ID 6IWF03JWSnSy2TPxm_2Ceg and PartitionRegistration(replicas=[1], directories=[bOn0HQux8YJPAUEV0wnUlw], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
[2024-09-02 19:09:40,113] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-27 with topic ID 6IWF03JWSnSy2TPxm_2Ceg and PartitionRegistration(replicas=[1], directories=[bOn0HQux8YJPAUEV0wnUlw], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
[2024-09-02 19:09:40,113] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-28 with topic ID 6IWF03JWSnSy2TPxm_2Ceg and PartitionRegistration(replicas=[1], directories=[bOn0HQux8YJPAUEV0wnUlw], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
[2024-09-02 19:09:40,113] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-29 with topic ID 6IWF03JWSnSy2TPxm_2Ceg and PartitionRegistration(replicas=[1], directories=[bOn0HQux8YJPAUEV0wnUlw], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
[2024-09-02 19:09:40,113] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-30 with topic ID 6IWF03JWSnSy2TPxm_2Ceg and PartitionRegistration(replicas=[1], directories=[bOn0HQux8YJPAUEV0wnUlw], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
[2024-09-02 19:09:40,113] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-31 with topic ID 6IWF03JWSnSy2TPxm_2Ceg and PartitionRegistration(replicas=[1], directories=[bOn0HQux8YJPAUEV0wnUlw], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
[2024-09-02 19:09:40,113] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-32 with topic ID 6IWF03JWSnSy2TPxm_2Ceg and PartitionRegistration(replicas=[1], directories=[bOn0HQux8YJPAUEV0wnUlw], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
[2024-09-02 19:09:40,113] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-33 with topic ID 6IWF03JWSnSy2TPxm_2Ceg and PartitionRegistration(replicas=[1], directories=[bOn0HQux8YJPAUEV0wnUlw], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
[2024-09-02 19:09:40,113] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-34 with topic ID 6IWF03JWSnSy2TPxm_2Ceg and PartitionRegistration(replicas=[1], directories=[bOn0HQux8YJPAUEV0wnUlw], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
[2024-09-02 19:09:40,113] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-35 with topic ID 6IWF03JWSnSy2TPxm_2Ceg and PartitionRegistration(replicas=[1], directories=[bOn0HQux8YJPAUEV0wnUlw], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
[2024-09-02 19:09:40,113] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-36 with topic ID 6IWF03JWSnSy2TPxm_2Ceg and PartitionRegistration(replicas=[1], directories=[bOn0HQux8YJPAUEV0wnUlw], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
[2024-09-02 19:09:40,114] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-37 with topic ID 6IWF03JWSnSy2TPxm_2Ceg and PartitionRegistration(replicas=[1], directories=[bOn0HQux8YJPAUEV0wnUlw], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
[2024-09-02 19:09:40,114] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-38 with topic ID 6IWF03JWSnSy2TPxm_2Ceg and PartitionRegistration(replicas=[1], directories=[bOn0HQux8YJPAUEV0wnUlw], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
[2024-09-02 19:09:40,114] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-39 with topic ID 6IWF03JWSnSy2TPxm_2Ceg and PartitionRegistration(replicas=[1], directories=[bOn0HQux8YJPAUEV0wnUlw], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
